MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2501", Thicko=0.205"			Time:	150.17505	Sec	11/9/2011 3:15:09 PM
Time	Axial Displacement	Axial Strain	Axial Force
Sec	in	in/in	lbf
5.7226563	0.016247429	0.000741589	732.02167
5.7526855	0.016300932	0.00074825005	734.69788
5.7827148	0.016383534	0.00075175043	736.98181
5.8127441	0.016588161	0.00076706812	739.53601
5.8427734	0.016592151	0.00073240686	741.74341
5.8728027	0.016712766	0.00075839658	742.59033
5.902832	0.016747028	0.00074161275	744.3407
5.9328613	0.016833853	0.00073993381	750.17706
5.9628906	0.016941564	0.0007585428	749.91254
5.9929199	0.017054437	0.00076442852	753.7312
6.0229492	0.017062416	0.00076601875	755.24139
6.0529785	0.017201103	0.00075752463	759.28186
6.0830078	0.017246159	0.00077393895	759.53369
6.1130371	0.017372172	0.00077245233	766.44098
6.1430664	0.017524939	0.00077469845	766.50641
6.1730957	0.017542304	0.00078701612	769.7771
6.203125	0.0177237	0.00077938766	770.02386
6.2331543	0.017791282	0.0007736691	773.98401
6.2631836	0.017822962	0.00079057727	775.89832
6.2932129	0.017902983	0.0007905591	777.04639
6.3232422	0.017894534	0.0008034535	780.64709
6.3532715	0.018133422	0.00079657778	783.3222
6.3833008	0.018231278	0.00081031665	787.32324
6.4133301	0.018382635	0.00080896111	790.70428
6.4433594	0.018410794	0.00082480523	791.49933
6.4733887	0.018491754	0.00079170859	792.61591
6.503418	0.018570133	0.00082801876	796.85223
6.5334473	0.018752467	0.00081161421	800.59955
6.5634766	0.018710461	0.00082836172	803.34052
6.5935059	0.01889655	0.00082144362	803.79315
6.6235352	0.018968357	0.00081312133	807.92548
6.6535645	0.01896554	0.00082925789	806.49799
6.6835938	0.019077007	0.00086063042	809.13336
6.713623	0.019265911	0.00083381392	814.26257
6.7436523	0.019292897	0.00084835419	818.50812
6.7736816	0.019348983	0.00083823956	820.12457
6.8037109	0.019627528	0.00088126247	825.4165
6.8337402	0.01960195	0.00081834698	824.578
6.8637695	0.019657331	0.00087260094	828.20953
6.8937988	0.01980024	0.00084481866	827.69641
6.9238281	0.019824412	0.00089130306	832.24304
6.9538574	0.019866886	0.00085695612	834.31055
6.9838867	0.019985391	0.0008899708	838.56604
7.013916	0.020113751	0.00088142126	842.29889
7.0439453	0.020161388	0.00090661563	843.6944
7.0739746	0.02028271	0.00089325651	846.21429
7.1040039	0.02037986	0.00089605094	846.18481
7.1340332	0.020492265	0.00089377572	849.90137
7.1640625	0.020659581	0.00089123042	853.54181
7.1940918	0.020729745	0.00089328887	854.85126
7.2241211	0.020716839	0.00089964748	859.02777
7.2541504	0.020911844	0.00089088746	861.1908
7.2841797	0.020932259	0.00095381716	865.19916
7.314209	0.021021901	0.0009138257	866.91534
7.3442383	0.02113454	0.00092886447	869.03412
7.3742676	0.021228639	0.00090682961	872.78119
7.4042969	0.021315232	0.00091813912	876.41327
7.4343262	0.021435848	0.00091691955	876.95483
7.4643555	0.021473395	0.00093797233	878.8537
7.4943848	0.02160199	0.00091816613	880.70166
7.5244141	0.021558812	0.00094206946	882.83881
7.5544434	0.021751471	0.00093794346	886.14612
7.5844727	0.021856131	0.0009669495	889.76428
7.614502	0.021905176	0.00096253573	894.00262
7.6445313	0.021903533	0.00096653437	894.80798
7.6745605	0.022187712	0.00095217733	899.30621
7.7045898	0.022208832	0.00098653079	897.565
7.7346191	0.022297066	0.00096339791	899.99237
7.7646484	0.022344466	0.00098479155	906.90027
7.7946777	0.022437863	0.0010031319	908.9726
7.824707	0.022521639	0.00097952492	909.84167
7.8547363	0.02257655	0.0010036869	914.14563
7.8847656	0.022710778	0.00099060463	914.84595
